"","created_at","screen_name","text","source","is_retweet","favorite_count","retweet_count","followers_count","city","datetime","date2"
"915",2019-03-09 12:52:15,"mansuryavas06","Bugün Sincanlı hemşehrilerimizle buluştuk. Sincan’daki coşku gösteriyor ki Sincanlı hemşehrilerim kararını çoktan vermiş.

Bu coşkunun, inancın, umudun karşılığını 5 yıl boyunca hizmetlerimizle vereceğiz. Huzurlu ve bereketli bir Ankara 22 gün kaldı. #HakYeriniBulacak https://t.co/QyYG2Tf1vo","Twitter for iPhone",FALSE,2111,285,1279698,"Ankara",2019-03-09 12:52:15,2019-03-09
"916",2019-03-09 12:08:24,"mansuryavas06","Lale Şehri Sincan’da hemşehrilerimizleyiz #HakYeriniBulacak https://t.co/4C0zmhxERM","Twitter for iPhone",FALSE,923,134,1279698,"Ankara",2019-03-09 12:08:24,2019-03-09
"917",2019-03-09 11:54:36,"mansuryavas06","Lale Şehri Sincan’da hemşehrilerimizleyiz #HakYeriniBulacak https://t.co/O3YU0YHL3q","Twitter for iPhone",FALSE,567,93,1279698,"Ankara",2019-03-09 11:54:36,2019-03-09
"918",2019-03-09 10:18:24,"mansuryavas06","Bu sabah OSİAD Genel Kurulu’nu ziyaret ettik. Ardından da Eryaman Seçim Koordinasyon Merkezi’mizde hemşehrilerimizi dinledik, sorularına yanıt verdik. 

Ankara’yı hak ettiği yere getirebilmek adına Ankaralıyı dinlemeye devam ediyoruz. Huzurlu ve bereketli günler çok yakında. https://t.co/1gUj3i94bB","Twitter for iPhone",FALSE,876,129,1279698,"Ankara",2019-03-09 10:18:24,2019-03-09
"919",2019-03-08 17:05:56,"mansuryavas06","Bugün akşam saatlerinde Kadınlar Günü’ne özel olarak düzenlenen resim ve heykel sergisini ziyaret ettik. Sanatçılarımızla birlikte eserlerini inceledik.
Sanatın ve sanatçının her daim yanında olmak bizim görevimiz. 31 Mart’tan sonra Ankara’da herkes için huzur ve bereket gelecek. https://t.co/sBxgiczdJz","Twitter for iPhone",FALSE,1750,226,1279698,"Ankara",2019-03-08 17:05:56,2019-03-08
"920",2019-03-08 14:10:23,"mansuryavas06","Bugün Mamak’ta sevgili hemşehrilerimizle buluştuk ve Seçim Koordinasyon Merkezi’mizin açılışını gerçekleştirdik. Bizimle olan tüm vatandaşlarımıza teşekkür ediyoruz. 

Bizler bu yola kentimizi hak ettiği yere taşımak için çıktık. Ankara değişime hazır, 1 Nisan sabahını bekliyor. https://t.co/VCKRz9YDuU","Twitter for iPhone",FALSE,2092,313,1279698,"Ankara",2019-03-08 14:10:23,2019-03-08
"921",2019-03-08 13:06:16,"mansuryavas06","Cumhuriyet Halk Partisi Ankara Gençlik Kolları olarak yeni dönemde engelleri de aşacak bir dille geliyor, engellerin olmadığı bir Ankara’ya hazırlanıyoruz. Sen de engel olma, farkında ol!
@mansuryavas06 geliyor engelleri kaldırmaya. 😊 https://t.co/xLgf50OIxy","Twitter for iPhone",TRUE,0,264,1279698,"Ankara",2019-03-08 13:06:16,2019-03-08
"922",2019-03-08 07:32:55,"mansuryavas06","Kadınlarımızın ayrımcılığa uğramadığı, istismar edimediği, şiddete maruz kalmadığı bir dünya ümidiyle, #8MartDünyaEmekçiKadınlarGünü kutlu olsun. 

Bizim de Ankara'da nihai hedefimiz, Beypazarı'nda başlattığımız kadın istihdamını 31 Mart'tan sonra tüm ilçelerimize yaymak olacak. https://t.co/lsBLLyhFpS","Twitter Web Client",FALSE,5213,828,1279698,"Ankara",2019-03-08 07:32:55,2019-03-08
"923",2019-03-07 18:04:26,"mansuryavas06","Sincan’dan Çankaya’ya, Ankara’mızın her köşesinde vatandaşlarımızla kucaklaşıyoruz. 

Bu coşkunun, inancın, umudun karşılığını 5 yıl boyunca hizmetlerimizle vereceğiz. Huzurlu, bereketli bir Ankara için 24 gün kaldı.  

#HakYeriniBulacak https://t.co/oMSgNMR4Ib","Twitter for iPhone",TRUE,0,578,1279698,"Ankara",2019-03-07 18:04:26,2019-03-07
"924",2019-03-07 16:11:45,"mansuryavas06","NTV’de “Seçime Doğru Adaylar Konuşuyor” programındayız. https://t.co/FxfOzBjqiM","Periscope",FALSE,1491,304,1279698,"Ankara",2019-03-07 16:11:45,2019-03-07
"925",2019-03-07 08:52:54,"mansuryavas06","Sincan’dan Çankaya’ya, Ankara’mızın her köşesinde vatandaşlarımızla kucaklaşıyoruz. 

Bu coşkunun, inancın, umudun karşılığını 5 yıl boyunca hizmetlerimizle vereceğiz. Huzurlu, bereketli bir Ankara için 24 gün kaldı.  

#HakYeriniBulacak https://t.co/oMSgNMR4Ib","Twitter for iPhone",FALSE,3648,578,1279698,"Ankara",2019-03-07 08:52:54,2019-03-07
"926",2019-03-07 08:07:31,"mansuryavas06","Bu akşam saat 19.00’da Funda Görey’in sunduğu “Seçime Doğru Adaylar Konuşuyor” programına konuk olacağım. 

Ankara’mız için 31 Mart’tan sonra başlayacak huzur ve bereket değişimini konuşacağımız yayını NTV’de izleyebilirsiniz. https://t.co/RQMN4dwVvE","Twitter for iPhone",FALSE,1161,201,1279698,"Ankara",2019-03-07 08:07:31,2019-03-07
